Taxa,Category
Acanthophora.spicifera,Other_macroalgae
Actinotrichia.fragilis,Other_macroalgae
Algal.Turf,Turf_CCA_Bare
Amansia.rhodantha,Amansia.rhodantha
Amphiroa.fragilissima,Other_macroalgae
Ascidian,Other
Asparagopsis.taxiformis,Other_macroalgae
Bare.Space,Turf_CCA_Bare
Boodlea.kaeneana,Other_macroalgae
Caulerpa.peltata,Other_macroalgae
Caulerpa.pickeringii,Other_macroalgae
Caulerpa.racemosa,Other_macroalgae
Caulerpa.serrulata,Other_macroalgae
Chaetomorpha.antennina,Other_macroalgae
Chlorodesmis.fastigiata,Other_macroalgae
Chnoospora.implexa,Other_macroalgae
Cladophoropsis.luxurians,Other_macroalgae
Cladophoropsis.membranacea,Other_macroalgae
Codium.geppiorum,Other_macroalgae
Coelothrix.irregularis,Other_macroalgae
Coral,Coral
Coral.Rubble,Soft_substrate
Corallimorpharia,Other
Crustose.Corallines,Turf_CCA_Bare
Cyanophyta,Other_macroalgae
Damselfish.Turf,Turf_CCA_Bare
Dichotomaria.marginata,Other_macroalgae
Dichotomaria.obtusata,Other_macroalgae
Dictyosphaeria.cavernosa,Other_macroalgae
Dictyosphaeria.versluysii,Other_macroalgae
Dictyota.bartayresiana,Dictyota.bartayresiana
Dictyota.divaricata,Other_macroalgae
Dictyota.friabilis,Other_macroalgae
Dictyota.hamifera,Other_macroalgae
Dictyota.implexa,Other_macroalgae
Dictyota.sp.,Other_macroalgae
Galaxaura.filamentosa,Other_macroalgae
Galaxaura.rugosa,Other_macroalgae
Galaxaura.sp.,Other_macroalgae
Gelidiella.acerosa,Other_macroalgae
Gelidiella.sp.,Other_macroalgae
Gibsmithia.hawaiiensis,Other_macroalgae
Halimeda.discoidea,Other_macroalgae
Halimeda.distorta,Other_macroalgae
Halimeda.incrassata,Other_macroalgae
Halimeda.macroloba,Other_macroalgae
Halimeda.minima,Other_macroalgae
Halimeda.opuntia,Other_macroalgae
Halimeda.sp.,Other_macroalgae
Halimeda.taenicola,Other_macroalgae
Heteractis.sp.,Other
Hydroclathrus.clathratus,Other_macroalgae
Hypnea.spinella,Other_macroalgae
Jania.sp.,Other_macroalgae
Liagora.ceranoides,Other_macroalgae
Lithophyllum.kotschyanum,Other_macroalgae
Lobophora.variegata,Other_macroalgae
Martensia.elegans,Other_macroalgae
Microdictyon.okamurae,Other_macroalgae
Microdictyon.umbilicatum,Other_macroalgae
Millepora.platyphylla,Other
Neogoniolithon.frutescens,Turf_CCA_Bare
Neomeris.vanbosseae,Other_macroalgae
No.data,No_data
Padina.boryana,Other_macroalgae
Peyssonnelia.bornetii,Other_macroalgae
Peyssonnelia.inamoena,Other_macroalgae
Peyssonnelia.sp.,Other_macroalgae
Phormidium.sp.,Other_macroalgae
Phyllodictyon.anastomosans,Other_macroalgae
Ralfsia.sp.,Other_macroalgae
Rhipidosiphon.javensis,Other_macroalgae
Sand,Soft_substrate
Sarcophyton.sp.,Other
Sargassum.pacificum,Sargassum.pacificum
Shell.Debris,Soft_substrate
Soft.Coral,Other
Sponge,Other
Sporolithon.sp.,Turf_CCA_Bare
Symploca.hydnoides,Other
Tridacna.sp.,Other
Turbinaria.ornata,Turbinaria.ornata
Valonia.aegagropila,Other_macroalgae
Valonia.ventricosa,Other_macroalgae
Macroalgae_sum,Macroalgae_sum
